home_ID,gender,age,edu,hhtype,income_cat,income,mode,hcost,dis_to_subway,POI,dis_to_cbd,AveIncome,dis_to_Yuyuantan,dis_to_Kunminghu,newPOI,ncoffee,work_ID,commute_dis
19,male,18~30,Bachelor,Living Alone,3 ~ 5万元,40000,自行车/电动自行车,751027.2,425.836948,5,13808.90351,84770,18075.1180764,22004.7623406,199,11,19,3.90856302932
20,male,18~30,Bachelor,With Partner and Children,7000元以下,3500,自行车/电动自行车,3891587.8,533.603871,29,6335.747883,72170,7582.65256067,19648.9519403,996,28,20,6.347784472680001
21,female,31~40,Bachelor,With Partner and Children,7000元以下,3500,私家车,9761746.2,461.760523,175,2463.746935,96949,3309.9332614,14451.0306887,1949,116,21,20.9384609791
22,female,31~40,Bachelor,Living with Partner,7000元 ~ 1万元,8500,自行车/电动自行车,6835917.0,866.4270199,140,4551.070762,96949,1414.01845133,13360.8599094,1347,110,22,7.1368772942400005
23,female,41~50,High School and Below,Living Alone,7000元以下,3500,地铁,1497757.8,1027.4372,1,18264.88187,84770,20921.458552,20655.0148447,249,12,23,17.2920753798
24,female,41~50,Doctorate and Above,With Partner and Children,7000元 ~ 1万元,8500,私家车,5254954.1,798.8777555,207,7567.429443,93478,4141.80153294,8672.35159587,1809,117,24,27.7729276959
25,male,51~60,High School and Below,With Partner and Children,1 ~ 2万元,15000,私家车,3613587.6,781.8817057,178,6485.233327,72170,11232.0436358,22618.114304,1807,21,25,3.63050972661
26,female,31~40,Master,Three Generations or More Living Together,2 ~ 3万元,25000,地铁,5242099.5,369.0591373,85,7330.185239,72170,10462.9285265,22440.4246737,1267,30,26,11.9008284248
27,female,31~40,Master,Living Alone,7000元 ~ 1万元,8500,地铁,1394652.6,628.7046493,48,16143.54022,84666,10696.4583769,14087.0797262,1005,21,27,15.1278323893
28,male,41~50,Master,With Partner and Children,3 ~ 5万元,40000,公交车,6473751.0,465.9645914,134,6199.809652,89804,8727.99125929,13881.5986534,2019,108,28,12.6581217398
30,male,31~40,Bachelor,With Partner and Children,1 ~ 2万元,15000,地铁,4000965.2,347.8564832,61,10571.19636,72170,13696.8905632,25724.1601767,419,6,30,11.465166509700001
31,male,41~50,Doctorate and Above,With Partner and Children,2 ~ 3万元,25000,地铁,5789432.6,486.2293593,135,3081.333273,89804,8803.06064376,19041.4996982,1888,135,31,7.73250298118
32,female,18~30,Master,Living Alone,1 ~ 2万元,15000,公交车,2757212.7,0.0,91,8250.769208,84770,11196.0661526,15236.0643438,1563,94,32,18.9745819486
33,male,18~30,Master,Living with Partner,2 ~ 3万元,25000,地铁,2676399.0,0.0,141,18157.40441,53454,18916.9699646,30499.1423549,925,16,33,18.866707327100002
34,male,51~60,Bachelor,With Partner and Children,2 ~ 3万元,25000,公交车,3569141.1,361.4455856,44,8367.432641,72170,11664.7568092,23635.746603,885,13,34,6.70474742729
35,female,18~30,Bachelor,Living with Parents,7000元以下,3500,地铁,5679224.1,251.7566114,102,3479.548877,89804,8824.49559904,19691.6668077,1496,82,35,7.67382023064
36,male,31~40,Doctorate and Above,Three Generations or More Living Together,1 ~ 2万元,15000,自行车/电动自行车,2856219.3,336.5980011,24,20448.21127,56075,18570.7427314,9431.84300691,760,14,36,17.2198309232
37,male,31~40,Bachelor,Living with Partner,7000元 ~ 1万元,8500,地铁,3383628.6,153.0993545,84,7146.466647,84770,9662.53658439,14073.1531307,1866,101,37,28.8887385199
38,male,51~60,Bachelor,With Partner and Children,2 ~ 3万元,25000,公交车,3569141.1,361.4455856,44,8367.432641,72170,11664.7568092,23635.746603,885,13,38,9.55953760099
39,female,31~40,Bachelor,Living Alone,7000元 ~ 1万元,8500,地铁,1423187.7,0.0,14,13312.41147,72170,12435.9742258,23498.2084623,608,34,39,23.8112276966
40,male,18~30,Bachelor,Living with Partner,7000元以下,3500,自行车/电动自行车,2428364.4,532.6535724,118,10998.31662,84770,14917.6514637,18997.800984,1494,149,40,0.401888194221
41,male,18~30,Doctorate and Above,Three Generations or More Living Together,5万元以上,60000,单位班车/配车,4893857.1,1345.933258,60,12509.63347,93478,9196.24930561,4068.71001604,769,100,41,0.269552017433
42,female,18~30,Bachelor,Living with Partner,7000元 ~ 1万元,8500,步行,3169168.2,535.2389752,29,11873.10055,84770,15879.8577483,19830.6743937,1344,115,42,2.05764895148
43,female,18~30,Bachelor,Living with Partner,1 ~ 2万元,15000,地铁,2230390.8,2010.69592,20,13474.18596,53454,14626.5177863,26489.473913,806,14,43,20.5132436763
44,female,18~30,Bachelor,Living with Parents,7000元 ~ 1万元,8500,出租车/网约车,7435305.9,358.5439418,82,10190.26144,93478,4987.43299395,7392.1404626,1190,67,44,12.059149099899999
45,male,41~50,Master,Three Generations or More Living Together,1 ~ 2万元,15000,地铁,3595897.8,0.0,99,14738.19696,93478,12776.9147442,6271.2540388,962,24,45,14.4679946112
46,female,31~40,Master,Living with Parents,1 ~ 2万元,15000,公交车,2887919.1,1785.81524,58,23689.90314,49695,29088.8034329,34919.0285567,349,11,46,28.688769224
47,male,18~30,Master,Living with Partner,7000元 ~ 1万元,8500,地铁,2656803.6,681.7881306,79,10966.53087,72170,8233.35589384,18545.4220929,867,12,47,11.374558741500001
48,female,18~30,Doctorate and Above,Three Generations or More Living Together,5万元以上,60000,私家车,3220004.7,450.9090802,339,20998.34493,49695,26602.8224085,33599.7296376,1062,26,48,17.176065967400003
49,female,31~40,Master,Three Generations or More Living Together,1 ~ 2万元,15000,私家车,4917528.0,278.5845222,189,10893.63732,84770,13850.2492402,16542.4234611,1597,130,49,9.60748765542
50,female,41~50,Doctorate and Above,Living with Partner,1 ~ 2万元,15000,地铁,2578389.0,729.2282394,82,8886.200919,72170,8261.84756405,19917.8682302,766,18,50,14.6797687177
51,female,18~30,Master,Living Alone,7000元以下,3500,地铁,1283208.3,1047.142453,144,19668.07939,56075,17133.0638194,7016.58137314,1081,18,51,15.0502846319
52,female,18~30,Master,Living Alone,1 ~ 2万元,15000,步行,1824391.8,461.778399,93,6918.960316,96949,7211.44751961,11000.4580382,1676,59,52,1.7305783725700001
53,female,31~40,Master,Living with Parents,1 ~ 2万元,15000,地铁,4717181.7,1058.695231,132,9404.039992,84770,9811.8895394,10865.4509639,1325,68,53,14.221952845399999
54,female,31~40,Master,Other,2 ~ 3万元,25000,私家车,3392571.0,448.7898173,101,8454.373879,84770,9804.20796347,12372.417402,1802,86,54,12.6448989251
55,female,41~50,Doctorate and Above,Three Generations or More Living Together,3 ~ 5万元,40000,出租车/网约车,5732377.2,54.5063616,150,3624.960942,96949,4706.4803586,16676.0912599,1673,72,55,9.1044195025
56,male,18~30,Master,Living Alone,1 ~ 2万元,15000,公交车,1263246.6,179.0678129,338,3297.159273,89804,5764.75739175,13727.7859948,2772,118,56,5.35795523002
57,male,31~40,Master,Living with Partner,2 ~ 3万元,25000,地铁,3377193.6,1043.507864,114,17212.95647,84666,11710.0045063,14255.2149406,918,18,57,14.3491858954
58,female,51~60,Bachelor,Living Alone,7000元以下,3500,公交车,2989941.9,441.9833717,151,2955.978062,96949,3484.14742418,13285.5291011,2336,130,58,5.64915158522
59,female,31~40,Bachelor,Living with Parents,7000元以下,3500,步行,8231671.8,436.7810407,90,5286.089287,96949,4565.48694002,11102.7109071,1975,89,59,7.18044461776
60,male,31~40,Doctorate and Above,Three Generations or More Living Together,1 ~ 2万元,15000,私家车,5421418.2,870.6696107,172,9257.200491,84770,9954.96166569,11350.5602369,1475,83,60,8.28648636087
61,female,31~40,Doctorate and Above,Three Generations or More Living Together,1 ~ 2万元,15000,地铁,4467582.9,0.0,74,7564.65107,84770,8586.6567273,11812.6926384,1627,72,61,10.2026432179
62,female,31~40,Doctorate and Above,With Partner and Children,1 ~ 2万元,15000,地铁,2989029.2,1306.146629,42,25935.69585,49695,31462.6535414,37752.897017,303,16,62,28.1536931129
63,female,31~40,Bachelor,With Partner and Children,1 ~ 2万元,15000,步行,3391255.5,1586.02179,85,11059.0872,72170,6356.24230608,14678.0383791,1067,20,63,2.9515111998399997
64,male,18~30,Master,With Partner and Children,1 ~ 2万元,15000,公交车,3177256.6,179.0678129,338,3297.159273,89804,5764.75739175,13727.7859948,2772,118,64,24.069548574699997
65,female,18~30,Master,Living with Partner,7000元以下,3500,地铁,2591648.4,906.223963,143,13945.57826,72170,12597.5084614,23306.2598519,524,33,65,11.9269082707
66,male,18~30,Master,Three Generations or More Living Together,1 ~ 2万元,15000,公交车,3789739.8,179.0678129,338,3297.159273,89804,5764.75739175,13727.7859948,2772,118,66,11.3287663889
67,female,31~40,Master,With Partner and Children,7000元以下,3500,私家车,3286285.4,1329.017887,61,12004.34987,72170,9397.58229695,19544.004005,680,12,67,0.00849943531682
68,male,31~40,Bachelor,Living Alone,3 ~ 5万元,40000,步行,690274.2,201.2503741,29,22529.76727,49695,28045.8197535,34480.8572167,954,20,68,0.009283258882009999
69,female,31~40,Doctorate and Above,With Partner and Children,3 ~ 5万元,40000,步行,7221522.9,0.0,94,8767.037351,93478,3714.16768207,13137.3916613,1173,37,69,3.6335421882300003
70,female,18~30,Master,Living Alone,1 ~ 2万元,15000,自行车/电动自行车,1077816.3,2333.971746,5,16436.89657,53454,20971.4086828,32579.6203327,305,11,70,2.48460088868
71,male,18~30,Master,Living with Partner,2 ~ 3万元,25000,自行车/电动自行车,4148456.4,1107.144326,104,5264.219548,96949,6251.09667019,18319.2121286,1020,34,71,6.37953099948
72,female,18~30,Doctorate and Above,Living with Partner,1 ~ 2万元,15000,私家车,4439107.2,637.0441585,188,7099.888678,84770,11112.4640163,16870.1976285,2290,214,72,6.63623642261
73,female,31~40,Bachelor,Three Generations or More Living Together,7000元以下,3500,地铁,5617309.5,368.8735926,202,10979.99339,93478,8180.46755348,5752.31399091,1447,121,73,10.4705200002
74,male,18~30,Master,Living with Partner,7000元 ~ 1万元,8500,地铁,2656803.6,681.7881306,79,10966.53087,72170,8233.35589384,18545.4220929,867,12,74,6.8240887279999995
75,male,31~40,Doctorate and Above,Living with Partner,1 ~ 2万元,15000,地铁,1447617.6,1132.030193,69,12105.81614,93478,8878.77873276,4474.63762014,1076,112,75,25.4814137663
76,male,41~50,Bachelor,With Partner and Children,7000元 ~ 1万元,8500,地铁,5153702.4,663.8549554,219,4346.301182,89804,8085.05661427,15210.7798849,2646,180,76,14.1843900105
77,male,18~30,Bachelor,Living Alone,7000元以下,3500,自行车/电动自行车,544767.3,2064.040026,146,21212.53602,49695,26025.9893059,37424.0356455,911,3,77,4.23056854727
78,male,18~30,Bachelor,Living with Partner,7000元以下,3500,自行车/电动自行车,236801.4,2475.10064,153,21882.56297,49695,26792.5144169,38093.6451203,1006,4,78,0.873785710119
79,male,31~40,Doctorate and Above,Living Alone,7000元 ~ 1万元,8500,地铁,1149502.2,778.8413051,68,20856.01207,53454,21534.4645496,32996.2034663,468,6,79,27.8189124379
80,male,31~40,Doctorate and Above,Three Generations or More Living Together,3 ~ 5万元,40000,私家车,7135207.2,505.9374987,97,11389.40878,93478,9122.09848748,6162.28365239,1215,88,80,15.706147486699999
81,female,31~40,Doctorate and Above,With Partner and Children,7000元 ~ 1万元,8500,自行车/电动自行车,3224309.3,1559.185914,42,12834.11119,93478,9559.27773541,3872.83650404,642,77,81,2.2966908075299997
82,female,41~50,Master,With Partner and Children,2 ~ 3万元,25000,地铁,3031649.7,0.0,84,10647.38512,93478,4899.26624884,10319.6634896,866,30,82,9.00523193622
83,male,41~50,Bachelor,With Partner and Children,7000元 ~ 1万元,8500,地铁,5153702.4,663.8549554,219,4346.301182,89804,8085.05661427,15210.7798849,2646,180,83,4.30405424375
84,male,31~40,Bachelor,With Partner and Children,7000元 ~ 1万元,8500,自行车/电动自行车,2459929.1,2295.979682,28,18171.9087,53454,22710.6453221,34322.5329893,204,5,84,3.88887979984
85,female,31~40,Bachelor,Living with Parents,7000元以下,3500,私家车,3852020.7,953.7715405,47,11471.92576,72170,8721.42746652,18889.4075198,771,11,85,23.4126322329
86,male,18~30,Master,With Partner and Children,1 ~ 2万元,15000,公交车,3177256.6,179.0678129,338,3297.159273,89804,5764.75739175,13727.7859948,2772,118,86,8.21903471123
87,female,31~40,Bachelor,Living with Partner,1 ~ 2万元,15000,地铁,2051748.6,575.5944162,144,12459.55129,53454,16725.9748194,28459.4313549,702,6,87,12.2383225695
88,female,31~40,Doctorate and Above,Living with Partner,2 ~ 3万元,25000,地铁,4189416.0,520.4317921,144,6711.229646,84770,9844.26969311,15003.0213928,1887,135,88,11.6043927424
89,male,31~40,Doctorate and Above,Living Alone,1 ~ 2万元,15000,步行,2121817.5,237.9562578,62,8754.302418,84770,8804.046192,10335.3189572,1390,67,89,11.1002516228
90,female,18~30,Master,Living with Parents,7000元 ~ 1万元,8500,地铁,6652123.5,1435.016665,44,15847.23719,84770,18708.2523284,19458.4832855,388,25,90,14.6484072993
91,female,18~30,Bachelor,Living Alone,7000元以下,3500,地铁,2424714.6,630.0193699,115,8274.750124,93478,2618.74764349,9989.73192775,1196,68,91,8.687706597750001
92,female,18~30,Bachelor,Living Alone,7000元以下,3500,地铁,1300546.5,826.3445488,80,11487.05249,72170,8913.02105484,19205.6666792,754,14,92,13.074102891099999
93,female,18~30,Bachelor,Living with Parents,7000元以下,3500,步行,6323545.8,551.3390455,126,7974.144887,93478,2350.34321749,10096.2756206,1262,51,93,1.48653350265
94,female,31~40,Doctorate and Above,With Partner and Children,1 ~ 2万元,15000,私家车,4723546.6,177.9551864,67,11209.11572,93478,5481.45749965,9009.7938524,691,29,94,4.02277622966
95,female,31~40,Master,Three Generations or More Living Together,2 ~ 3万元,25000,地铁,3384394.2,1017.887897,59,10798.68499,72170,9547.86654314,20729.1946242,1051,40,95,10.9421040892
96,female,18~30,Master,Three Generations or More Living Together,7000元以下,3500,步行,6171363.0,379.969955,152,8445.476948,93478,3017.71110417,9280.42059796,1193,78,96,2.1835301606899997
97,female,18~30,Master,Living with Partner,7000元 ~ 1万元,8500,地铁,4434749.0,1435.016665,44,15847.23719,84770,18708.2523284,19458.4832855,388,25,97,6.526272752400001
98,female,31~40,Master,With Partner and Children,2 ~ 3万元,25000,步行,7212641.9,861.3008884,96,3827.153893,96949,2008.98544848,13672.3122849,1534,123,98,2.4707509817999997
99,male,18~30,Bachelor,Living with Partner,1 ~ 2万元,15000,地铁,3600847.8,0.0,178,16021.71822,84770,15861.0523265,11461.8844365,884,21,99,17.2415655241
100,female,31~40,Doctorate and Above,Living with Parents,1 ~ 2万元,15000,公交车,4709548.8,803.7714874,42,10639.91179,93478,5705.3605211,13920.8518595,1179,25,100,11.0634098502
101,female,31~40,Doctorate and Above,Living with Parents,1 ~ 2万元,15000,地铁,3924726.3,499.9683043,35,14693.05113,84770,15638.6660607,13643.5251296,851,17,101,8.26468160664
102,female,31~40,Doctorate and Above,Living with Partner,7000元 ~ 1万元,8500,地铁,3196815.6,764.4583035,69,16212.89726,93478,11795.8805114,1000.11870985,375,7,102,12.131122686700001
103,female,31~40,Doctorate and Above,Living with Partner,7000元 ~ 1万元,8500,自行车/电动自行车,3082523.4,393.6488488,260,10993.1806,93478,8047.12345847,5606.39542195,1505,142,103,2.26861878832
104,female,31~40,Doctorate and Above,Living with Partner,7000元 ~ 1万元,8500,地铁,2724750.6,991.1537699,71,20423.80427,49695,26080.5812576,33437.2767906,881,20,104,23.8666733599
105,female,18~30,Master,Living Alone,2 ~ 3万元,25000,地铁,1262837.4,982.7922156,31,18155.04215,56075,18113.5418305,13022.6451147,1090,17,105,11.520562146300001
106,male,31~40,Bachelor,Living with Partner,2 ~ 3万元,25000,公交车,2443973.4,1040.015982,70,20373.47935,49695,26037.2067542,33444.7480306,848,20,106,17.8107852339
107,female,18~30,Master,Living Alone,7000元 ~ 1万元,8500,自行车/电动自行车,1522088.7,210.9240194,160,9873.905789,93478,5768.88704448,6444.10779339,1935,143,107,1.55624820871
108,male,31~40,Doctorate and Above,Living with Partner,1 ~ 2万元,15000,步行,3204885.75,1585.797853,34,13195.97105,93478,9841.3922281,3506.98190327,595,50,108,1.3633187789399999
109,female,18~30,Master,Living with Parents,7000元 ~ 1万元,8500,地铁,4694193.9,472.6767477,169,5713.598503,84770,11404.8210058,21559.0362228,1994,116,109,30.9401115866
110,male,31~40,Master,Three Generations or More Living Together,1 ~ 2万元,15000,自行车/电动自行车,4287581.1,559.4381102,29,12943.63589,93478,10828.934227,5914.65990142,793,38,110,3.10192747977
111,male,31~40,Bachelor,Living Alone,7000元以下,3500,地铁,1354874.4,619.8038478,74,20390.05985,49695,26026.6149336,33253.6693805,919,20,111,0.00562560855938
112,male,18~30,Master,Living Alone,1 ~ 2万元,15000,地铁,1530579.6,534.9889546,4,13019.35522,72170,12367.0065886,23574.8956648,559,33,112,15.463130234300001
113,female,31~40,Master,Living Alone,1 ~ 2万元,15000,地铁,1951913.7,785.1871471,64,10181.42085,93478,7931.27127126,6852.452914,1614,104,113,12.5090206649
114,female,31~40,Doctorate and Above,Living with Partner,1 ~ 2万元,15000,地铁,2746471.2,770.1627377,83,9134.719528,93478,6551.49659543,7339.95040529,1873,138,114,12.1153853335
115,female,18~30,Master,Living Alone,1 ~ 2万元,15000,公交车,2757212.7,0.0,91,8250.769208,84770,11196.0661526,15236.0643438,1563,94,115,13.5198402165
116,female,31~40,Bachelor,Living Alone,7000元以下,3500,地铁,1510179.0,0.0,124,4997.887134,96949,2669.2514044,11298.5095853,1782,110,116,0.559185445262
117,male,18~30,Doctorate and Above,Living with Partner,1 ~ 2万元,15000,自行车/电动自行车,3737269.8,588.7570798,122,10939.00021,84770,11153.0706213,10636.5439373,883,58,117,2.0499369336099997
118,male,18~30,Doctorate and Above,Living with Partner,1 ~ 2万元,15000,自行车/电动自行车,5355662.4,649.0572005,80,5176.842066,96949,750.52510301,12096.9958721,1328,83,118,3.1995783973600003
119,male,31~40,Master,Living with Partner,1 ~ 2万元,15000,地铁,1986283.2,2519.018439,44,24776.6268,45548,26618.591482,23471.6575853,388,12,119,34.3629898643
120,male,31~40,Master,Living with Parents,7000元 ~ 1万元,8500,步行,4914657.0,914.8141861,85,21860.46064,56075,18894.1500762,7682.19621825,783,9,120,9.32833505898e-05
121,female,18~30,Master,Living with Parents,1 ~ 2万元,15000,地铁,4786659.9,810.2775693,133,17336.68322,84666,11856.9333276,14489.4280094,864,18,121,10.3612132469
122,female,41~50,Bachelor,With Partner and Children,7000元以下,3500,公交车,3330499.5,2240.881114,14,19487.9486,84666,14273.4959393,17431.4968888,100,4,122,2.90730877199
123,female,31~40,Doctorate and Above,Three Generations or More Living Together,7000元 ~ 1万元,8500,自行车/电动自行车,9379616.4,530.3088483,129,5708.015897,89804,8575.20187153,14286.7213479,2237,128,123,5.34940118668
124,female,18~30,Master,Living Alone,7000元 ~ 1万元,8500,地铁,2165225.7,691.5079024,167,6391.314576,84770,11523.1465648,19051.2440322,3087,328,124,2.90564541965
125,female,18~30,Master,Living Alone,7000元 ~ 1万元,8500,地铁,881133.0,294.2834036,99,17619.02939,56075,17242.6400557,11768.0087901,846,15,125,28.6625585686
126,male,31~40,Doctorate and Above,Living Alone,1 ~ 2万元,15000,地铁,723808.8,1132.030193,69,12105.81614,93478,8878.77873276,4474.63762014,1076,112,126,1.11148494536
127,male,31~40,Doctorate and Above,Living with Parents,1 ~ 2万元,15000,地铁,4383650.7,0.0,129,5150.446865,72170,7638.26784692,19629.7812574,1352,42,127,13.8822429818
128,male,31~40,Doctorate and Above,Living with Partner,1 ~ 2万元,15000,地铁,1449610.8,799.980771,36,30085.22324,47594,27772.2654333,36001.2342917,688,7,128,33.019980977699994
129,female,41~50,Master,With Partner and Children,7000元 ~ 1万元,8500,步行,4369493.5,337.8684802,113,12104.07631,93478,9943.26540327,6042.85539753,770,72,129,10.73657545
130,female,31~40,Doctorate and Above,Living with Partner,7000元 ~ 1万元,8500,公交车,4983006.6,495.3787676,136,8038.685202,84770,11499.3367612,16189.6526676,1697,108,130,2.91872977566
131,male,18~30,Master,Three Generations or More Living Together,1 ~ 2万元,15000,公交车,3789739.8,179.0678129,338,3297.159273,89804,5764.75739175,13727.7859948,2772,118,131,8.13068421863
132,male,18~30,Bachelor,Living Alone,7000元以下,3500,自行车/电动自行车,985182.0,3420.72553,10,23045.32682,49695,28133.9998885,39218.0236265,603,0,132,9.054862135830001
133,male,41~50,High School and Below,With Partner and Children,7000元以下,3500,私家车,7554037.5,666.9368316,118,3181.766074,89804,8068.60118346,16531.2303351,3029,230,133,17.990025301099998
134,male,31~40,Doctorate and Above,Living Alone,1 ~ 2万元,15000,地铁,723808.8,1132.030193,69,12105.81614,93478,8878.77873276,4474.63762014,1076,112,134,12.715607026499999
135,female,31~40,Bachelor,Living with Parents,7000元以下,3500,步行,4563672.3,433.8961874,81,19821.3098,84666,14209.7151597,14820.7119946,353,2,135,6.8989541156900005
136,male,18~30,Master,With Partner and Children,1 ~ 2万元,15000,公交车,3177256.6,179.0678129,338,3297.159273,89804,5764.75739175,13727.7859948,2772,118,136,25.6457435565
137,female,18~30,Master,With Partner and Children,7000元以下,3500,地铁,3227463.3,1047.142453,144,19668.07939,56075,17133.0638194,7016.58137314,1081,18,137,4.50542741163
138,male,18~30,Master,With Partner and Children,1 ~ 2万元,15000,公交车,3177256.6,179.0678129,338,3297.159273,89804,5764.75739175,13727.7859948,2772,118,138,10.0207871478
139,male,31~40,Master,Three Generations or More Living Together,1 ~ 2万元,15000,自行车/电动自行车,6481668.6,861.7419435,139,6569.948967,84770,11722.6901386,19235.2449901,3028,324,139,3.78396919341
140,female,18~30,Bachelor,Living with Parents,7000元 ~ 1万元,8500,出租车/网约车,7435305.9,358.5439418,82,10190.26144,93478,4987.43299395,7392.1404626,1190,67,140,15.701597837900001
141,male,31~40,Bachelor,Living with Parents,7000元以下,3500,私家车,2560496.4,4540.15685,25,23782.31308,84666,18040.8705096,15431.8698472,254,2,141,11.432237236499999
142,male,18~30,Master,Living with Partner,1 ~ 2万元,15000,公交车,2526493.2,179.0678129,338,3297.159273,89804,5764.75739175,13727.7859948,2772,118,142,6.24891742116
143,female,31~40,Doctorate and Above,Three Generations or More Living Together,1 ~ 2万元,15000,地铁,10329452.1,464.2351035,113,2720.241317,96949,3103.27522479,14438.4217594,1942,120,143,5.35795523002
144,female,31~40,Master,Living with Partner,7000元 ~ 1万元,8500,公交车,1956088.2,2418.051946,26,18043.43546,53454,22555.4263422,34184.6052784,205,4,144,3.5759085650799998
145,male,31~40,Bachelor,With Partner and Children,3 ~ 5万元,40000,私家车,4162524.7,1647.334167,13,25045.11561,49695,30535.2113278,36690.938997,468,18,145,11.4574910631
146,female,18~30,Master,Living Alone,7000元以下,3500,公交车,0.0,1570.879132,15,20676.72654,93478,16148.4270656,4601.03142596,100,3,146,11.7208053384
147,male,31~40,Doctorate and Above,With Partner and Children,7000元 ~ 1万元,8500,地铁,5428108.7,753.9271534,363,4140.216596,84770,9431.7956302,17917.0674857,3249,343,147,15.701597837900001
148,male,51~60,Master,With Partner and Children,7000元 ~ 1万元,8500,公交车,5004817.0,403.1013645,117,12080.96259,93478,9883.08164378,5985.38771083,844,73,148,9.32041542641
149,male,18~30,Bachelor,Living with Parents,7000元 ~ 1万元,8500,步行,6729485.4,1101.079157,82,11604.20158,84770,10195.4359164,7530.15276418,824,41,149,0.497426705144
150,female,31~40,Master,Living with Partner,3 ~ 5万元,40000,公交车,2813718.6,722.5331416,63,19096.24405,56075,16108.9653521,5333.90109668,651,35,150,5.891342868370001
151,female,51~60,Bachelor,Living Alone,7000元 ~ 1万元,8500,公交车,1097857.2,1325.133719,14,12217.70295,84770,17626.3969621,24621.8554576,1147,66,151,8.26238386921
152,female,18~30,Bachelor,Living with Parents,7000元 ~ 1万元,8500,出租车/网约车,7435305.9,358.5439418,82,10190.26144,93478,4987.43299395,7392.1404626,1190,67,152,15.701597837900001
153,male,18~30,Master,Living with Parents,7000元 ~ 1万元,8500,地铁,3985205.4,681.7881306,79,10966.53087,72170,8233.35589384,18545.4220929,867,12,153,8.79969838428
154,male,51~60,Master,With Partner and Children,7000元 ~ 1万元,8500,公交车,5004817.0,403.1013645,117,12080.96259,93478,9883.08164378,5985.38771083,844,73,154,3.50761312454
155,female,18~30,Bachelor,Living with Parents,5万元以上,60000,地铁,8161609.5,554.4615362,95,6738.729119,93478,999.714396163,11329.4223809,1227,47,155,0.735216994801
